source,cited,citation_analysis
8184251,23385697,neither
8184251,33239931,positive
8184251,33239931,neither
8184251,28394322,positive
8184251,28394322,neither
8184251,30594004,positive
8184251,30594004,neither
8184251,19345142,positive
11298188,35590361,positive
11298188,35590361,neither
11298188,36274585,positive
11298188,36274585,neither
11298188,38800543,positive
11298188,38800543,neither
11298188,36550904,positive
11298188,36550904,neither
11298188,28929340,positive
11298188,28929340,neither
11298188,30371228,positive
11298188,30371228,neither
11298188,35395941,positive
11298188,35395941,neither
11298188,35481337,positive
11298188,35481337,neither
11298188,38018129,positive
11298188,38018129,neither
11298188,36507649,positive
11298188,36507649,neither
11298188,35671766,positive
11298188,27637676,positive
11298188,35342697,positive
11298188,35342697,neither
11298188,28929340,negative
11298188,30643347,positive
11298188,30643347,negative
11298188,31132577,positive
11298188,29198294,positive
11298188,29198294,neither
11298188,25715415,positive
11298188,25715415,neither
11298188,32224049,positive
11298188,36398460,positive
11298188,36398460,negative
11298188,27647451,positive
11298188,27647451,neither
11298188,37059495,positive
11298188,36875376,positive
11298188,36875376,neither
11298188,37441269,positive
11298188,34986811,positive
11298188,34986811,neither
11298188,27998377,positive
11298188,27998377,neither
11298188,34459862,positive
11298188,34459862,neither
11298188,36000246,positive
11298188,36000246,neither
10263013,35045817,positive
10263013,19628778,positive
10263013,35199075,positive
10263013,35199075,negative
10263013,33741255,positive
10263013,33741255,neither
10263013,33707978,positive
10263013,31608397,positive
10263013,31608397,neither
10263013,34983482,positive
10263013,34983482,neither
10263013,32938253,positive
10263013,32938253,neither
10263013,34313002,positive
10263013,34313002,neither
10263013,33985393,positive
10263013,33985393,neither
10263013,1798888,positive
10263013,1798888,negative
10263013,16055882,positive
10263013,16055882,neither
10263013,22743675,positive
10263013,34949706,positive
10263013,34949706,neither
10263013,33166208,positive
10263013,33166208,neither
10263013,33798242,positive
10263013,33798242,neither
10263013,35480554,positive
10263013,35480554,neither
10263013,36132978,positive
10263013,36132978,neither
10263013,34616149,positive
10263013,34616149,neither
10263013,36652894,positive
10263013,36652894,neither
10263013,35045817,neither
10263013,33817935,positive
10263013,33817935,neither
10263013,31841252,positive
10263013,31841252,neither
10263013,34514667,positive
10263013,34514667,neither
10263013,28169105,positive
10263013,28442310,positive
10263013,28442310,neither
10263013,32256061,positive
10263013,32256061,neither
10263013,12746947,positive
10263013,28169105,neither
10263013,23997063,positive
10263013,12412667,positive
10263013,12412667,neither
10263013,23997063,neither
10263013,25700872,positive
10263013,25700872,neither
10263013,35797447,positive
10263013,35797447,neither
10263013,34915602,positive
10263013,34915602,neither
10793117,34878857,positive
10793117,32799105,positive
10793117,36272761,positive
10793117,36272761,neither
10793117,34607184,positive
10793117,34607184,neither
10793117,32897868,positive
10793117,32897868,neither
10793117,37286498,positive
10793117,37286498,neither
10793117,36039109,positive
10793117,36039109,neither
10793117,29221780,positive
10793117,29221780,neither
10793117,33327388,positive
10793117,33327388,neither
10793117,18979946,positive
10793117,18979946,neither
10793117,36758202,positive
10793117,14592192,positive
10793117,14592192,neither
10793117,37506957,positive
10793117,37506957,neither
10793117,32876685,positive
10793117,33108269,positive
10793117,33108269,neither
10793117,33907351,positive
10793117,33907351,neither
10793117,12531125,positive
10793117,12531125,neither
